"";"data_type";"year";"month";"data_from";"species";"lclass";"frequence"
"54";"Artisanal Landings";2020;6;"Abidjan";"PSS";27;4
"55";"Artisanal Landings";2020;6;"Abidjan";"PSS";28;9
"56";"Artisanal Landings";2020;6;"Abidjan";"PSS";29;4
"57";"Artisanal Landings";2020;6;"Abidjan";"PSS";30;2
"58";"Artisanal Landings";2020;6;"Abidjan";"PSS";31;1
"59";"Artisanal Landings";2020;7;"Abidjan";"PSS";16;1
"60";"Artisanal Landings";2020;7;"Abidjan";"PSS";17;1
"61";"Artisanal Landings";2020;7;"Abidjan";"PSS";18;5
"62";"Artisanal Landings";2020;7;"Abidjan";"PSS";19;4
"63";"Artisanal Landings";2020;7;"Abidjan";"PSS";20;5
"64";"Artisanal Landings";2020;7;"Abidjan";"PSS";21;9
"65";"Artisanal Landings";2020;7;"Abidjan";"PSS";22;5
"66";"Artisanal Landings";2020;7;"Abidjan";"PSS";23;1
"67";"Artisanal Landings";2020;7;"Abidjan";"PSS";24;1
"68";"Artisanal Landings";2020;7;"Abidjan";"PSS";25;5
"69";"Artisanal Landings";2020;7;"Abidjan";"PSS";26;2
"70";"Artisanal Landings";2020;7;"Abidjan";"PSS";27;11
"71";"Artisanal Landings";2020;7;"Abidjan";"PSS";28;7
"72";"Artisanal Landings";2020;7;"Abidjan";"PSS";29;9
"73";"Artisanal Landings";2020;7;"Abidjan";"PSS";30;9
"74";"Artisanal Landings";2020;7;"Abidjan";"PSS";31;4
"75";"Artisanal Landings";2020;7;"Abidjan";"PSS";32;1
"76";"Artisanal Landings";2020;7;"Abidjan";"PSS";33;1
"77";"Artisanal Landings";2020;8;"Abidjan";"PSS";17;1
"78";"Artisanal Landings";2020;8;"San Pedro";"PSS";17;1
"79";"Artisanal Landings";2020;8;"Abidjan";"PSS";18;1
"80";"Artisanal Landings";2020;8;"San Pedro";"PSS";18;2
"81";"Artisanal Landings";2020;8;"Abidjan";"PSS";19;2
"82";"Artisanal Landings";2020;8;"San Pedro";"PSS";19;4
"83";"Artisanal Landings";2020;8;"Abidjan";"PSS";20;6
"84";"Artisanal Landings";2020;8;"San Pedro";"PSS";20;5
"85";"Artisanal Landings";2020;8;"Abidjan";"PSS";21;10
"86";"Artisanal Landings";2020;8;"San Pedro";"PSS";21;5
"87";"Artisanal Landings";2020;8;"Abidjan";"PSS";22;9
"88";"Artisanal Landings";2020;8;"San Pedro";"PSS";22;5
"89";"Artisanal Landings";2020;8;"Abidjan";"PSS";23;17
"90";"Artisanal Landings";2020;8;"San Pedro";"PSS";23;5
"91";"Artisanal Landings";2020;8;"Abidjan";"PSS";24;11
"92";"Artisanal Landings";2020;8;"San Pedro";"PSS";24;2
"93";"Artisanal Landings";2020;8;"Abidjan";"PSS";25;8
"94";"Artisanal Landings";2020;8;"San Pedro";"PSS";25;4
"95";"Artisanal Landings";2020;8;"Abidjan";"PSS";26;5
"96";"Artisanal Landings";2020;8;"San Pedro";"PSS";26;1
"97";"Artisanal Landings";2020;8;"Abidjan";"PSS";27;5
"98";"Artisanal Landings";2020;8;"San Pedro";"PSS";27;4
"99";"Artisanal Landings";2020;8;"Abidjan";"PSS";28;2
"100";"Artisanal Landings";2020;8;"San Pedro";"PSS";28;4
"101";"Artisanal Landings";2020;8;"Abidjan";"PSS";29;1
"102";"Artisanal Landings";2020;8;"San Pedro";"PSS";29;4
"103";"Artisanal Landings";2020;8;"Abidjan";"PSS";30;1
"104";"Artisanal Landings";2020;8;"San Pedro";"PSS";30;4
"105";"Artisanal Landings";2020;8;"Abidjan";"PSS";31;1
"106";"Artisanal Landings";2020;8;"San Pedro";"PSS";31;4
"107";"Artisanal Landings";2020;9;"San Pedro";"PSS";18;5
"108";"Artisanal Landings";2020;9;"Abidjan";"PSS";19;5
"109";"Artisanal Landings";2020;9;"San Pedro";"PSS";19;5
"110";"Artisanal Landings";2020;9;"Abidjan";"PSS";20;4
"111";"Artisanal Landings";2020;9;"San Pedro";"PSS";20;15
"112";"Artisanal Landings";2020;9;"Abidjan";"PSS";21;9
"113";"Artisanal Landings";2020;9;"San Pedro";"PSS";21;15
"114";"Artisanal Landings";2020;9;"Abidjan";"PSS";22;12
"115";"Artisanal Landings";2020;9;"San Pedro";"PSS";22;9
"116";"Artisanal Landings";2020;9;"Abidjan";"PSS";23;17
"117";"Artisanal Landings";2020;9;"San Pedro";"PSS";23;4
"118";"Artisanal Landings";2020;9;"Abidjan";"PSS";24;10
"119";"Artisanal Landings";2020;9;"San Pedro";"PSS";24;5
"120";"Artisanal Landings";2020;9;"Abidjan";"PSS";25;5
"121";"Artisanal Landings";2020;9;"San Pedro";"PSS";25;1
"122";"Artisanal Landings";2020;9;"Abidjan";"PSS";26;2
"123";"Artisanal Landings";2020;9;"San Pedro";"PSS";26;1
"124";"Artisanal Landings";2020;9;"Abidjan";"PSS";27;2
"125";"Artisanal Landings";2020;9;"Abidjan";"PSS";28;0
"126";"Artisanal Landings";2020;9;"Abidjan";"PSS";29;1
"127";"Artisanal Landings";2020;9;"Abidjan";"PSS";30;1
"128";"Artisanal Landings";2020;9;"Abidjan";"PSS";31;0
"129";"Artisanal Landings";2020;9;"Abidjan";"PSS";32;0
"130";"Artisanal Landings";2020;9;"Abidjan";"PSS";33;0
"131";"Artisanal Landings";2020;9;"Abidjan";"PSS";34;0
"132";"Artisanal Landings";2020;9;"Abidjan";"PSS";35;0
"133";"Artisanal Landings";2020;9;"Abidjan";"PSS";36;0
"134";"Artisanal Landings";2020;9;"Abidjan";"PSS";37;1
"135";"Artisanal Landings";2020;9;"Abidjan";"PSS";38;1
"136";"Artisanal Landings";2020;9;"Abidjan";"PSS";39;1
"137";"Artisanal Landings";2020;9;"Abidjan";"PSS";40;1
"138";"Artisanal Landings";2020;9;"Abidjan";"PSS";41;1
"139";"Artisanal Landings";2020;11;"San Pedro";"PSS";14;1
"140";"Artisanal Landings";2020;11;"San Pedro";"PSS";15;1
"141";"Artisanal Landings";2020;11;"Abidjan";"PSS";16;2
"142";"Artisanal Landings";2020;11;"San Pedro";"PSS";16;0
"143";"Artisanal Landings";2020;11;"Abidjan";"PSS";17;0
"144";"Artisanal Landings";2020;11;"San Pedro";"PSS";17;0
"145";"Artisanal Landings";2020;11;"Abidjan";"PSS";18;1
"146";"Artisanal Landings";2020;11;"San Pedro";"PSS";18;0
"147";"Artisanal Landings";2020;11;"Abidjan";"PSS";19;1
"148";"Artisanal Landings";2020;11;"San Pedro";"PSS";19;0
"149";"Artisanal Landings";2020;11;"Abidjan";"PSS";20;3
"150";"Artisanal Landings";2020;11;"San Pedro";"PSS";20;0
"151";"Artisanal Landings";2020;11;"Abidjan";"PSS";21;5
"152";"Artisanal Landings";2020;11;"San Pedro";"PSS";21;8
"153";"Artisanal Landings";2020;11;"Abidjan";"PSS";22;10
"154";"Artisanal Landings";2020;11;"San Pedro";"PSS";22;4
"155";"Artisanal Landings";2020;11;"Abidjan";"PSS";23;13
"156";"Artisanal Landings";2020;11;"San Pedro";"PSS";23;4
"157";"Artisanal Landings";2020;11;"Abidjan";"PSS";24;11
"158";"Artisanal Landings";2020;11;"San Pedro";"PSS";24;0
"159";"Artisanal Landings";2020;11;"Abidjan";"PSS";25;6
"160";"Artisanal Landings";2020;11;"San Pedro";"PSS";25;0
"161";"Artisanal Landings";2020;11;"Abidjan";"PSS";26;13
"162";"Artisanal Landings";2020;11;"San Pedro";"PSS";26;0
"163";"Artisanal Landings";2020;11;"Abidjan";"PSS";27;6
"164";"Artisanal Landings";2020;11;"San Pedro";"PSS";27;0
"165";"Artisanal Landings";2020;11;"Abidjan";"PSS";28;5
"166";"Artisanal Landings";2020;11;"San Pedro";"PSS";28;0
"167";"Artisanal Landings";2020;11;"Abidjan";"PSS";29;2
"168";"Artisanal Landings";2020;11;"San Pedro";"PSS";29;0
"169";"Artisanal Landings";2020;11;"Abidjan";"PSS";30;1
"170";"Artisanal Landings";2020;11;"San Pedro";"PSS";30;15
"171";"Artisanal Landings";2020;11;"Abidjan";"PSS";31;0
"172";"Artisanal Landings";2020;11;"San Pedro";"PSS";31;4
"173";"Artisanal Landings";2020;11;"Abidjan";"PSS";32;2
"174";"Artisanal Landings";2020;11;"San Pedro";"PSS";32;0
"175";"Artisanal Landings";2020;11;"San Pedro";"PSS";33;0
"176";"Artisanal Landings";2020;11;"San Pedro";"PSS";34;0
"177";"Artisanal Landings";2020;11;"San Pedro";"PSS";35;0
"178";"Artisanal Landings";2020;11;"San Pedro";"PSS";36;10
"179";"Artisanal Landings";2020;11;"San Pedro";"PSS";37;0
"180";"Artisanal Landings";2020;11;"San Pedro";"PSS";38;0
"181";"Artisanal Landings";2020;11;"San Pedro";"PSS";39;0
"182";"Artisanal Landings";2020;11;"San Pedro";"PSS";40;0
"183";"Artisanal Landings";2020;11;"San Pedro";"PSS";41;0
"184";"Artisanal Landings";2020;11;"San Pedro";"PSS";42;2
"185";"Artisanal Landings";2020;11;"San Pedro";"PSS";43;0
"186";"Artisanal Landings";2020;11;"San Pedro";"PSS";44;0
"187";"Artisanal Landings";2020;11;"San Pedro";"PSS";45;0
"188";"Artisanal Landings";2020;11;"San Pedro";"PSS";46;0
"189";"Artisanal Landings";2020;11;"San Pedro";"PSS";47;0
"190";"Artisanal Landings";2020;11;"San Pedro";"PSS";48;1
"191";"Artisanal Landings";2021;1;"San Pedro";"PSS";11;1
"192";"Artisanal Landings";2021;1;"San Pedro";"PSS";12;1
"193";"Artisanal Landings";2021;1;"San Pedro";"PSS";13;0
"194";"Artisanal Landings";2021;1;"San Pedro";"PSS";14;1
"195";"Artisanal Landings";2021;1;"San Pedro";"PSS";15;0
"196";"Artisanal Landings";2021;1;"San Pedro";"PSS";16;0
"197";"Artisanal Landings";2021;1;"San Pedro";"PSS";17;0
"198";"Artisanal Landings";2021;1;"Abidjan";"PSS";18;1
"199";"Artisanal Landings";2021;1;"San Pedro";"PSS";18;0
"200";"Artisanal Landings";2021;1;"Abidjan";"PSS";19;5
"201";"Artisanal Landings";2021;1;"San Pedro";"PSS";19;0
"202";"Artisanal Landings";2021;1;"Abidjan";"PSS";20;5
"203";"Artisanal Landings";2021;1;"San Pedro";"PSS";20;0
"204";"Artisanal Landings";2021;1;"Abidjan";"PSS";21;2
"205";"Artisanal Landings";2021;1;"San Pedro";"PSS";21;3
"206";"Artisanal Landings";2021;1;"Abidjan";"PSS";22;5
"207";"Artisanal Landings";2021;1;"San Pedro";"PSS";22;2
"208";"Artisanal Landings";2021;1;"Abidjan";"PSS";23;6
"209";"Artisanal Landings";2021;1;"San Pedro";"PSS";23;1
"210";"Artisanal Landings";2021;1;"Abidjan";"PSS";24;13
"211";"Artisanal Landings";2021;1;"San Pedro";"PSS";24;1
"212";"Artisanal Landings";2021;1;"Abidjan";"PSS";25;17
"213";"Artisanal Landings";2021;1;"San Pedro";"PSS";25;5
"214";"Artisanal Landings";2021;1;"Abidjan";"PSS";26;15
"215";"Artisanal Landings";2021;1;"San Pedro";"PSS";26;6
"216";"Artisanal Landings";2021;1;"Abidjan";"PSS";27;22
"217";"Artisanal Landings";2021;1;"San Pedro";"PSS";27;0
"218";"Artisanal Landings";2021;1;"Abidjan";"PSS";28;11
"219";"Artisanal Landings";2021;1;"San Pedro";"PSS";28;1
"220";"Artisanal Landings";2021;1;"Abidjan";"PSS";29;7
"221";"Artisanal Landings";2021;1;"San Pedro";"PSS";29;0
"222";"Artisanal Landings";2021;1;"Abidjan";"PSS";30;5
"223";"Artisanal Landings";2021;1;"San Pedro";"PSS";30;10
"224";"Artisanal Landings";2021;1;"Abidjan";"PSS";31;1
"225";"Artisanal Landings";2021;1;"San Pedro";"PSS";31;1
"226";"Artisanal Landings";2021;1;"San Pedro";"PSS";32;4
"227";"Artisanal Landings";2021;1;"San Pedro";"PSS";33;1
"228";"Artisanal Landings";2021;1;"San Pedro";"PSS";34;5
"229";"Artisanal Landings";2021;1;"San Pedro";"PSS";35;1
"230";"Artisanal Landings";2021;1;"San Pedro";"PSS";36;0
"231";"Artisanal Landings";2021;1;"San Pedro";"PSS";37;0
"232";"Artisanal Landings";2021;1;"San Pedro";"PSS";38;0
"233";"Artisanal Landings";2021;1;"San Pedro";"PSS";39;1
"234";"Artisanal Landings";2021;1;"San Pedro";"PSS";40;5
"235";"Artisanal Landings";2021;1;"San Pedro";"PSS";41;4
"236";"Artisanal Landings";2021;1;"San Pedro";"PSS";42;5
"237";"Artisanal Landings";2021;1;"San Pedro";"PSS";43;2
"238";"Artisanal Landings";2021;1;"San Pedro";"PSS";44;1
"239";"Artisanal Landings";2021;1;"San Pedro";"PSS";45;0
"240";"Artisanal Landings";2021;1;"San Pedro";"PSS";46;0
"241";"Artisanal Landings";2021;1;"San Pedro";"PSS";47;1
"242";"Artisanal Landings";2021;1;"San Pedro";"PSS";48;1
"243";"Artisanal Landings";2021;1;"San Pedro";"PSS";49;2
"244";"Artisanal Landings";2021;1;"San Pedro";"PSS";50;3
"245";"Artisanal Landings";2021;1;"San Pedro";"PSS";51;5
"246";"Artisanal Landings";2021;1;"San Pedro";"PSS";52;2
